ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
73220002,Carrefour Contact,4554300,630300,73220,Grande Rue,Aiguebelle,R
73230001,Avia,4557400,595300,73230,319 Avenue de Chambéry,SAINT-ALBAN-LEYSSE,R
73240001,Netto,4559600,563700,73240,Lieu dit Contin,Saint-Genix-sur-Guiers,R
73250001,Intermarché,4555458,616274,73250,ZI DU CAROUGE,Saint-Pierre-d'Albigny,R
73260001,Système U,4550300,650161,73260,325 RUE DE LA PETITE PRAIRIE,AIGUEBLANCHE,R
73270001,Intermarché,4572800,653300,73270,100 ROUTE DU JARDY,Villard-sur-Doron,R
73290001,Système U,4560217,587546,73290,75 Rue Lavoisier,LA MOTTE-SERVOLEX,R
73290008,ENI,4559263.6,588386,73290,330 avenue JEAN ROSTAND,La Motte-Servolex,R
73300001,Carrefour Market,4526600,636700,73300,Chemin de Combe-Paillarde,Saint-Jean-de-Maurienne,R
73300002,ENI,4526900,636700,73300,AVENUE DU 8 MAI 1945 LES PLANS,Saint-Jean-de-Maurienne,R
73300004,Intermarché,4529060,635676,73300,quartier longefan,HERMILLON,R
73300005,Elan,4524000,627000,73300,Station Le Corbier - Le planet,LE CORBIER - VILLAREMBERT,R
73310002,Système U,4584642.2494013,583716.83401671,73310,ZAE DE SAUMONT,RUFFIEUX,R
73320002,Avia,4546061,690144,73320,Lieu-dit Les Chartreux,Tignes,R
73330001,Système U,4553000,569000,73330,ZAE la Baronnie - 66 rue de l'Ecurée,Le Pont-de-Beauvoisin,R
73330002,Intermarché,4552956,568477,73330,zi Baronnie,Le Pont-de-Beauvoisin,R
73340001,Cattin Frères,4570707.7759824,610588.15218712,73340,Lieu-dit Chef Lieu,Lescheraines,R
73340002,LES AILLONS,4562100,608100,73340,"Commune d'Aillon-le-Jeune, Chef-Lieu",AILLON LE JEUNE,R
73370001,Indépendant sans enseigne,4567600,585200,73370,3263 Route du Tunnel BOURDEAU,Le Bourget-du-Lac,R
73390007,ENI,4554888.9302926,615750.8723526,73390,AIRE DE L'ARCLUSAZ,Châteauneuf,A
73390008,ENI,4554700,615600,73390,AIRE DE VAL GELONAUTOROUTE A43,CHATEAUNEUF,A
73400001,TotalEnergies,4575700,639900,73400,2120 route d'Annecy,UGINE,R
73400003,Carrefour Market,4574710.723,641838.041,73400,14 Rue Antoine Borrel,UGINE,R
73400005,Avia,4574169.0578647,642306.96163968,73400,27 AVENUE JEAN MARIE MEUNIER,UGINE,R
73410001,Intermarché,4576100,593300,73410,54 RUE DU GLATEY,LA BIOLLE,R
