id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
85320002,intermarche,46.53821,-1.23044,85320,"2, rue des Acacias",Mareuil-sur-Lay-Dissais,R
85340003,e.leclerc,46.513500982446,-1.7776629695892,85340,87 Avenue François Mitterand,Olonne-sur-Mer,R
85350001,independant sans enseigne,46.72342,-2.34468,85350,9 Rue Neptune,L'Île-d'Yeu,R
85400005,e.leclerc,46.461,-1.137,85400,2 Route de Fontenay,Luçon,R
85400006,intermarche,46.4549723,-1.1692935,85400,97 RUE DU PRESIDENT DE GAULLE,LUÇON,R
85403001,e.leclerc,46.46,-1.146,85400,Chemin des Roches,Luçon,R
85490001,intermarche,46.37,-0.594,85490,2 rue de la Gare,Benet,R
85500005,e.leclerc,46.858,-1.015,85500,Avenue des Chauvières,Les Herbiers,R
85510001,intermarche,46.79597,-0.9322000000000199,85510,Rue Eugène Charrier,Le Boupère,R
85530003,elan,47.007,-1.19,85530,2 Rue André Defontaine,La Bruffière,R
85540002,intermarche,46.497,-1.424,85540,Avenue Georges Clemenceau,MOUTIERS-LES-MAUXFAITS,R
85550001,intermarche,46.89,-2.123,85550,Avenue de l'Estacade BP 4,La Barre-de-Monts,R
85560002,casino,46.425,-1.494,85560,RUE GEORGES CLEMENCEAU,LONGEVILLE-SUR-MER,R
85590001,intermarche,46.88,-0.905,85590,Rue Pierre de Coubertin,LES EPESSES,R
85600002,intermarche,46.979878899999996,-1.2992337729927,85600,Route de cholet,Saint-Hilaire-de-Loulay,R
85600005,avia,46.945231993018,-1.2907601748959,85600,89 RUE DURIVUM,Saint-Georges-de-Montaigu,R
85603001,e.leclerc,46.978,-1.306,85600,Rue Amiral Duchaffault,MONTAIGU,R
85620001,intermarche,46.939,-1.509,85620,ROUTE DE VIEILLEVIGNE,ROCHESERVIERE,R
85640001,esso,46.776,-1.066,85640,RUE DE LA VILLE EN BOIS,MOUCHAMPS,R
85670002,esso,46.882,-1.697,85670,8 Rue Nationale,Falleron,R
85680001,intermarche,46.976,-2.242,85680,Route de Noirmoutier,"NOIRMOUTIER, LA GUéRINIèRE",R
85750002,intermarche,46.40643,-1.39324,85750,Lieu-dit La Dugeonnière,Angles,R
85800003,e.leclerc,46.694,-1.914,85800,rd pt de l'Europe parc Océanis,Saint-Gilles-Croix-de-Vie,R
86000012,intermarche,46.597,0.322,86000,10 rue de la Demi-Lune,POITIERS,R
86000014,auchan,46.551,0.299,86000,250 AVE DU 8 MAI 1945,POITIERS,R
86000020,avia,46.576,0.345,86000,6 Rue du Pont Saint-Cyprien,Poitiers,R
86000021,avia,46.589,0.36,86000,"70, avenue John Kennedy",Poitiers,R
86000022,avia,46.573,0.364,86000,225 Rue du Faubourg du Pont Neuf,Poitiers,R
86000023,avia,46.589,0.34,86000,10 Boulevard Jeanne d'Arc,Poitiers,R
86036001,e.leclerc,46.56606713088,0.35440526256445004,86000,93 Route de Gençay,Poitiers,R
86100001,auchan,46.797,0.531,86100,Avenue Jean Moulin,CHâTELLERAULT,R
86100009,e.leclerc,46.825,0.56,86100,"144, Avenue Foch",Châtellerault,R
86100010,intermarche,46.8401124663,0.54742251739,86100,Sortie A10 Nord - ZI Nord - Espace d Argenson,CHATELLERAULT,R
86100013,esso,46.906,0.524,86100,AIRE DE CHATELLERAULT-ANTRAN,Antran,A
86100014,avia,46.905,0.523,86100,AUTOROUTE A10,Antran,A
86100015,intermarche,46.818426785453994,0.52557115196228,86100,109 AV MARECHAL DE LATTRE DE TASSIGNY,CHATELLERAULT,R
86110004,auchan,46.778462878174,0.18710544363848,86110,5 ROUTE DE POITIERS,Mirebeau,R
86130005,intermarche,46.699582400361,0.37865113408295004,86130,38 rue de Parigny,Jaunay-Marigny,R
86130008,eni,46.701,0.371,86130,SENS POITIERS TOURS,Jaunay-Marigny,A
86130010,avia,46.691,0.355,86130,AUTOROUTE A10,Jaunay-Clan,A
86140002,auchan,46.816,0.337,86140,route de lencloitre,Saint-Genest-d'Ambière,R
86150002,intermarche,46.233,0.688,86150,Avenue Pasteur,L'ISLE-JOURDAIN,R
86160002,intermarche,46.374,0.407,86160,Rue Emilien Fillon,Gençay,R
86180001,e.leclerc,46.597390880917004,0.35110607183029,86180,Rue des Ecoles,BUXEROLLES,R
86200004,e.leclerc,46.997,0.092,86200,FAUBOURG SAINT LAZARE,LOUDUN,R
