,id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1664,18110001,carrefour,47.210547849899996,2.42521747273,18110,Route de Paris,SAINT-MARTIN-D'AUXIGNY,R
1670,18160001,carrefour,46.753,2.169,18160,ROUTE DE CHATEAUROUX,LIGNIèRES,R
1673,18200001,carrefour,46.737568082299994,2.46095792922,18200,93 Avenue du Général de Gaulle,SAINT-AMAND-MONTROND,R
1679,18220001,carrefour,47.195403353380996,2.5666948514844,18220,17 route de bourges,LES AIX-D'ANGILLON,R
1685,18300001,carrefour,47.33375944,2.8320786700000005,18300,rue creuse,SANCERRE,R
1694,18390003,carrefour,47.096,2.441,18390,191 les Terres du fénestrelay,Saint-Germain-du-Puy,R
1697,18400004,carrefour,46.996,2.249,18400,Rue Jean Moulin,SAINT-FLORENT-SUR-CHER,R
1702,18500008,carrefour,47.1501613,2.2153735,18500,AVENUE JEAN CHATELET,Mehun-sur-Yèvre,R
1704,18570002,carrefour,47.063,2.324,18570,Rue des Acacias,La Chapelle-Saint-Ursin,R
1707,18700001,carrefour,47.475,2.423,18700,AVENUE EUGENE CASELLA,Aubigny-sur-Nère,R
1721,19110001,carrefour,45.4041032586,2.4999235676100002,19110,av victor hugo,BORT-LES-ORGUES,R
1724,19130002,carrefour,45.259,1.413,19130,AVENUE RAYMOND POINCARE,OBJAT,R
1733,19190001,carrefour,45.125542413999995,1.7225066547599999,19190,RD 921,BEYNAT,R
1753,19316001,carrefour,45.145,1.483,19100,"14,rue louis taurisson",BRIVE-LA-GAILLARDE,R
1755,19330002,carrefour,45.28398,1.65828,19330,Lieu-dit La Chapelle,Saint-Mexant,R
1758,19350001,carrefour,45.32,1.327,19350,laschamps,Chabrignac,R
1768,19600001,carrefour,45.195,1.542,19270,Les Combettes,Ussac,R
1912,21000001,carrefour,47.358,5.048,21000,Route de Langres,DIJON,R
1955,21190002,carrefour,46.92,4.753,21190,Route du Pont de Paris,CORPEAU,R
1958,21200001,carrefour,47.0157039279,4.83890960888,21200,Avenue du Général de Gaulle,BEAUNE,R
1973,21230005,carrefour,47.131,4.49,21230,Rue de l'Arquebuse,ARNAY-LE-DUC,R
1989,21320004,carrefour,47.251,4.576,21320,ZA LE PRE RABY / CREANCEY,POUILLY-EN-AUXOIS,R
2013,21490004,carrefour,47.398372810000005,5.13312311,21490,zae de la petite fin,Saint-Julien,R
2029,21700001,carrefour,47.133,4.967,21700,12 RUE ARNOULT,NUITS-SAINT-GEORGES,R
2033,21800002,carrefour,47.31,5.106,21800,AVENUE DE BOURGOGNE,QUETIGNY,R
2037,21800010,carrefour,47.303113001183,5.121463690616,21800,4 rue buffon,Chevigny-Saint-Sauveur,R
2045,22100001,carrefour,48.464,-2.087,22100,C CIAL LE CHENE,QUEVERT,R
2064,22150005,carrefour,48.35079047,-2.76064927,22150,35 RUE DE MONTIFAULT,Plœuc-L'Hermitage,R
2068,22170005,carrefour,48.537405899999996,-2.9949214,22170,34 rue de saint brieuc,Plouagat,R
2070,22200003,carrefour,48.5625605107,-3.16559732183,22200,rond point kennedy,Guingamp,R
2086,22270001,carrefour,48.409,-2.324,22270,"21 ter, rue de Penthièvre",Jugon-les-Lacs,R
